14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-20-302-015-0000,6727,S,LAFLIN,ST,3127,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6727 S LAFLIN ST
CHICAGO, IL
(41.77136064300049, -87.66151354099969)"
20-23-414-002-0000,1447,E,69TH,ST,3122,5,SOUTH SHORE,RT-4,NOT IN TIF,"1447 E 69TH ST
CHICAGO, IL
(41.7696425900005, -87.58919979099966)"
20-08-402-041-0000,5148,S,CARPENTER,ST,3117,20,NEW CITY,RS-3,NOT IN TIF,"5148 S CARPENTER ST
CHICAGO, IL
(41.80005015500046, -87.65141724699964)"
16-09-206-026-0000,4948,W,HURON,ST,3014,37,AUSTIN,RS-3,NOT IN TIF,"4948 W HURON ST
CHICAGO, IL
(41.893128024000475, -87.75010096699964)"
16-09-124-025-0000,5236,W,KINZIE,ST,3784,37,AUSTIN,C1-1,NOT IN TIF,"5236 W KINZIE ST
CHICAGO, IL
(41.887804668000456, -87.75667743299965)"
20-09-419-008-0000,5325,S,WENTWORTH,AVE,4517,3,FULLER PARK,M1-2,NOT IN TIF,"5325 S WENTWORTH AVE
CHICAGO, IL
(41.79762957000048, -87.63054911899968)"
20-08-106-021-0000,4757,S,THROOP,ST,2955,20,NEW CITY,RS-3,NOT IN TIF,"4757 S THROOP ST
CHICAGO, IL
(41.80703067900049, -87.65757388899965)"
25-34-101-020-0000,13336,S,PRAIRIE,AVE,8621,9,RIVERDALE,RM-5,NOT IN TIF,"13336 S PRAIRIE AVE
CHICAGO, IL
(41.652946441000495, -87.61563241399966)"
20-16-220-050-0000,5836,S,LAFAYETTE,AVE,2959,20,WASHINGTON PARK,RS-3,NOT IN TIF,"5836 S LAFAYETTE AVE
CHICAGO, IL
(41.7883636790005, -87.62666478699964)"
20-11-216-002-0000,4717,S,LAKE PARK,AVE,9777,4,KENWOOD,B3-3,NOT IN TIF,"4717 S LAKE PARK AVE
CHICAGO, IL
(41.80943397700048, -87.59207848799969)"
20-16-201-063-0000,5564,S,PRINCETON,AVE,3153,3,ENGLEWOOD,RS-3,NOT IN TIF,"5564 S PRINCETON AVE
CHICAGO, IL
(41.793068975000494, -87.63299634899965)"
20-20-430-001-0000,849,W,70TH,ST,7262,6,ENGLEWOOD,RT-4,NOT IN TIF,"849 W 70TH ST
CHICAGO, IL
(41.76695946800049, -87.64599483299969)"
25-16-217-006-0000,339,W,106TH,PL,3139,34,ROSELAND,RS-2,NOT IN TIF,"339 W 106TH PL
CHICAGO, IL
(41.70064280300045, -87.63207043599965)"
20-15-109-051-0000,5644,S,INDIANA,,6442,20,WASHINGTON PARK,RM-5,NOT IN TIF,"5644 S INDIANA
CHICAGO, IL
(41.79157973200046, -87.62078729199965)"
20-20-317-019-0000,6937,S,JUSTINE,ST,3106,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6937 S JUSTINE ST
CHICAGO, IL
(41.76743136200048, -87.66263355799964)"
20-29-219-031-0000,7346,S,MORGAN,ST,3102,17,ENGLEWOOD,RS-3,NOT IN TIF,"7346 S MORGAN ST
CHICAGO, IL
(41.760183457000494, -87.64915809199965)"
21-30-410-013-0000,2925,E,78TH,ST,851,7,SOUTH SHORE,RT-4,NOT IN TIF,"2925 E 78TH ST
CHICAGO, IL
(41.75419510000046, -87.55333617099967)"
16-10-424-014-0000,4115,W,WASHINGTON,BLVD,8751,28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4115 W WASHINGTON BLVD
CHICAGO, IL
(41.8820202550005, -87.72857310099965)"
20-19-401-013-0000,6723,S,WINCHESTER,AVE,3102,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6723 S WINCHESTER AVE
CHICAGO, IL
(41.77136179500047, -87.67243371499967)"
25-09-205-024-0000,9528,S,PERRY,AVE,3124,21,ROSELAND,RS-3,NOT IN TIF,"9528 S PERRY AVE
CHICAGO, IL
(41.720789298000454, -87.62624680299967)"
20-16-207-017-0000,5547,S,LAFAYETTE,AVE,2504,3,WASHINGTON PARK,RS-3,NOT IN TIF,"5547 S LAFAYETTE AVE
CHICAGO, IL
(41.7928910280005, -87.62671347799966)"
20-29-211-019-0000,7251,S,CARPENTER,ST,3116,6,ENGLEWOOD,RS-3,NOT IN TIF,"7251 S CARPENTER ST
CHICAGO, IL
(41.7617920940005, -87.65034332099964)"
20-08-130-005-0000,5013,S.,THROOP,ST,3087,20,NEW CITY,RS-3,NOT IN TIF,"5013 S THROOP ST
CHICAGO, IL
(41.80279143400048, -87.65746327099964)"
26-18-211-019-0000,10847,S,BURLEY,AVE,3159,10,EAST SIDE,M1-2,NOT IN TIF,"10847 S BURLEY AVE
CHICAGO, IL
(41.69777016500046, -87.54497406299964)"
21-31-409-027-0000,8420,S,MUSKEGON,AVE,3131,7,SOUTH CHICAGO,RS-3,NOT IN TIF,"8420 S MUSKEGON AVE
CHICAGO, IL
(41.74212033900045, -87.55517751799965)"
20-15-107-017-0000,21,E,56TH,ST,1849,20,WASHINGTON PARK,RT-4,NOT IN TIF,"21 E 56TH ST
CHICAGO, IL
(41.7928307840005, -87.62502485299967)"
20-16-204-049-0000,5616,S,LA SALLE,ST,3174,3,ENGLEWOOD,RS-3,NOT IN TIF,"5616 S LA SALLE ST
CHICAGO, IL
(41.7921697000005, -87.62927730399969)"
20-02-120-006-0000,4245,S,DREXEL,AVE,3411,4,OAKLAND,RM-5,NOT IN TIF,"4245 S DREXEL AVE
CHICAGO, IL
(41.8173447530005, -87.60410455599964)"
20-08-122-037-0000,1330,W,50TH,ST,3014,20,NEW CITY,RT-4,NOT IN TIF,"1330 W 50TH ST
CHICAGO, IL
(41.8032385190005, -87.65879069899967)"
20-28-122-013-0000,7444,S,PARNELL,,4000,6,ENGLEWOOD,RS-3,NOT IN TIF,"7444 S PARNELL
CHICAGO, IL
(41.75848965500046, -87.63850708199965)"
16-09-229-021-0000,4846,W,HUBBARD,,3001,37,AUSTIN,RS-3,NOT IN TIF,"4846 W HUBBARD
CHICAGO, IL
(41.8886974990005, -87.74745071899969)"
20-30-209-015-0000,7237,S,WINCHESTER,,3126,17,WEST ENGLEWOOD,RS-2,NOT IN TIF,"7237 S WINCHESTER
CHICAGO, IL
(41.76192115000049, -87.67219404099967)"
20-08-308-025-0000,5216,S,JUSTINE,ST,3027,16,NEW CITY,RS-3,NOT IN TIF,"5216 S JUSTINE ST
CHICAGO, IL
(41.79897968500046, -87.66354731799964)"
20-15-316-006-0000,6129,S,PRAIRIE,AVE,8162,20,WASHINGTON PARK,RM-5,NOT IN TIF,"6129 S PRAIRIE AVE
CHICAGO, IL
(41.78294222700049, -87.61888372299967)"
20-23-405-002-0000,1509,E,67TH,PL,3738,5,SOUTH SHORE,RM-5,NOT IN TIF,"1509 E 67TH PL
CHICAGO, IL
(41.772369279000486, -87.58834627599964)"
20-08-216-030-0000,5028,S,CARPENTER,ST,3105,20,NEW CITY,RS-3,NOT IN TIF,"5028 S CARPENTER ST
CHICAGO, IL
(41.8024100290005, -87.65146679499969)"
16-09-230-011-0000,4931,W,HUBBARD,ST,2887,37,AUSTIN,RS-3,NOT IN TIF,"4931 W HUBBARD ST
CHICAGO, IL
(41.88862260100046, -87.74928054199967)"
20-19-412-019-0000,6800,S,HERMITAGE,AVE,3231,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6800 S HERMITAGE AVE
CHICAGO, IL
(41.77020951300045, -87.66764713699968)"
16-04-428-007-0000,4841,W,IOWA,ST,1480,37,AUSTIN,RS-3,NOT IN TIF,"4841 W IOWA ST
CHICAGO, IL
(41.896791187000474, -87.74684128699965)"
20-25-402-022-0000,7502,S,MERRILL,AVE,3137,8,SOUTH SHORE,B3-2,NOT IN TIF,"7502 S MERRILL AVE
CHICAGO, IL
(41.75872011100046, -87.57247787699964)"
20-20-109-013-0000,6431,S,JUSTINE,,3095,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6431 S JUSTINE
CHICAGO, IL
(41.776721058000476, -87.66286401499968)"
20-19-408-038-0000,1942,W,69TH,ST,6248,17,WEST ENGLEWOOD,B3-1,NOT IN TIF,"1942 W 69TH ST
CHICAGO, IL
(41.768468416000474, -87.67299026799964)"
25-22-303-065-0000,382,E,KENSINGTON,AVE,5239,9,WEST PULLMAN,B3-1,NOT IN TIF,"382 E KENSINGTON AVE
CHICAGO, IL
(41.68400846300045, -87.61358092099965)"
20-16-205-006-0000,5541,S,LA SALLE,ST,3905,3,ENGLEWOOD,RS-3,NOT IN TIF,"5541 S LA SALLE ST
CHICAGO, IL
(41.793001648000484, -87.62923351799964)"
20-08-411-043-0000,5252,S,MORGAN,ST,4173,20,NEW CITY,RS-3,NOT IN TIF,"5252 S MORGAN ST
CHICAGO, IL
(41.79809012400045, -87.65014743299969)"
20-07-417-048-0000,5358,S,WOLCOTT,AVE,3193,16,NEW CITY,RS-3,NOT IN TIF,"5358 S WOLCOTT AVE
CHICAGO, IL
(41.79592959600046, -87.67193708199966)"
20-17-116-027-0000,5718,S,JUSTINE,ST,3106,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5718 S JUSTINE ST
CHICAGO, IL
(41.78977551300045, -87.66327346599968)"
20-15-300-014-0000,5916,S,WABASH,AVE,5670,20,WASHINGTON PARK,RT-4,NOT IN TIF,"5916 S WABASH AVE
CHICAGO, IL
(41.78678047800048, -87.62391688999969)"
20-08-306-001-0000,1259,W,51ST,ST,3089,20,NEW CITY,B3-2,NOT IN TIF,"1259 W 51ST ST
CHICAGO, IL
(41.80138334500049, -87.65731001699965)"
13-36-321-019-0000,1746,N,FRANCISCO,AVE,2892,1,WEST TOWN,RS-3,NOT IN TIF,"1746 N FRANCISCO AVE
CHICAGO, IL
(41.91366060100046, -87.69921057899967)"
20-16-207-026-0000,5615,S,LAFAYETTE,AVE,2501,3,WASHINGTON PARK,RS-3,NOT IN TIF,"5615 S LAFAYETTE AVE
CHICAGO, IL
(41.79228938300048, -87.62669840799964)"
14-33-413-012-0000,213,W,MENOMONEE,ST,2669,43,LINCOLN PARK,RM-5,NOT IN TIF,"213 W MENOMONEE ST
CHICAGO, IL
(41.91475620600045, -87.63569025599969)"
13-26-217-060-0000,2858,N,DAWSON,AVE,846,35,AVONDALE,RS-3,NOT IN TIF,"2858 N DAWSON AVE
CHICAGO, IL
(41.93363030900048, -87.71277377199965)"
20-07-430-015-0000,5437,S,PAULINA,ST,3115,16,NEW CITY,RS-3,NOT IN TIF,"5437 S PAULINA ST
CHICAGO, IL
(41.79473237500048, -87.66698342299969)"
20-08-305-007-0000,1307,W,51ST,,3126,20,NEW CITY,B3-2,NOT IN TIF,"1307 W 51ST
CHICAGO, IL
(41.80138334500049, -87.65786080799967)"
20-18-210-001-0000,5601,S,WOLCOTT,AVE,3721,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5601 S WOLCOTT AVE
CHICAGO, IL
(41.79199109700045, -87.67175386899964)"
20-08-128-011-0000,5027,S,LOOMIS,ST,3108,20,NEW CITY,RS-3,NOT IN TIF,"5027 S LOOMIS ST
CHICAGO, IL
(41.8023616320005, -87.65990380299968)"
13-11-312-001-0000,5051,N,MONTICELLO,AVE,2688,39,ALBANY PARK,RS-2,NOT IN TIF,"5051 N MONTICELLO AVE
CHICAGO, IL
(41.973491614000466, -87.71957356399969)"
20-16-221-050-0000,5756,S,STATE,ST,2512,20,WASHINGTON PARK,C1-2,NOT IN TIF,"5756 S STATE ST
CHICAGO, IL
(41.789290148000475, -87.62559691599967)"
20-18-112-017-0000,5600,S,DAMEN,AVE,3043,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5600 S DAMEN AVE
CHICAGO, IL
(41.79196920300046, -87.67427736599967)"
20-20-315-024-0000,6810,S,RACINE,AVE,3101,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6810 S RACINE AVE
CHICAGO, IL
(41.770109265000485, -87.65430716999964)"
20-16-221-036-0000,5800,S,STATE,ST,2721,20,WASHINGTON PARK,C1-2,NOT IN TIF,"5800 S STATE ST
CHICAGO, IL
(41.788959443000465, -87.62558769799966)"
16-09-231-006-0000,4845,W,HUBBARD,ST,2952,37,AUSTIN,RS-3,NOT IN TIF,"4845 W HUBBARD ST
CHICAGO, IL
(41.88864334200048, -87.74735046999967)"
20-16-213-016-0000,5710,S,PERRY,AVE,14399,20,WASHINGTON PARK,C2-1,NOT IN TIF,"5710 S PERRY AVE
CHICAGO, IL
(41.7905984840005, -87.62773075499967)"
20-08-214-040-0000,5044,S,MAY,ST,3200,20,NEW CITY,RS-3,NOT IN TIF,"5044 S MAY ST
CHICAGO, IL
(41.8019594860005, -87.65388773999967)"
16-09-424-001-0000,4857,W,WEST END,AVE,9002,28,AUSTIN,RT-4,NOT IN TIF,"4857 W WEST END AVE
CHICAGO, IL
(41.883083583000484, -87.74761088499969)"
25-34-308-006-0000,13567,S,INDIANA,AVE,3114,9,RIVERDALE,B3-1,NOT IN TIF,"13567 S INDIANA AVE
CHICAGO, IL
(41.64841426400045, -87.61718985899967)"
20-16-204-051-0000,5624,S,LA SALLE,ST,3176,3,ENGLEWOOD,RS-3,NOT IN TIF,"5624 S LA SALLE ST
CHICAGO, IL
(41.79203949200047, -87.62927730399969)"
25-20-127-030-0000,1440,W,115,ST,3346,34,MORGAN PARK,RS-2,NOT IN TIF,"1440 W 115 ST
CHICAGO, IL
(41.68489802400046, -87.65880106999964)"
25-22-312-020-0000,341,E,116TH,ST,3898,9,WEST PULLMAN,RS-3,NOT IN TIF,"341 E 116TH ST
CHICAGO, IL
(41.682553131000475, -87.61509041099964)"
20-07-416-032-0000,5326,S,WINCHESTER,AVE,5779,16,NEW CITY,RS-3,NOT IN TIF,"5326 S WINCHESTER AVE
CHICAGO, IL
(41.79675923800045, -87.67319767899966)"
20-20-311-034-0000,6844,S,LOOMIS,BLVD,3123,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6844 S LOOMIS BLVD
CHICAGO, IL
(41.76920302700046, -87.65909842999969)"
20-16-204-022-0000,5633,S,WENTWORTH,AVE,3046,3,ENGLEWOOD,B3-1,NOT IN TIF,"5633 S WENTWORTH AVE
CHICAGO, IL
(41.791812492000474, -87.63038349499965)"
20-02-404-057-0000,4538,S,OAKENWALD,AVE,2781,4,KENWOOD,RM-5,NOT IN TIF,"4538 S OAKENWALD AVE
CHICAGO, IL
(41.812387240000476, -87.59410193999969)"
20-07-425-032-0000,5432,S,WOLCOTT,AVE,3121,16,NEW CITY,RS-3,NOT IN TIF,"5432 S WOLCOTT AVE
CHICAGO, IL
(41.7948970380005, -87.67191449899968)"
20-28-117-010-1013,7340,S,STEWART,AVE,14182,6,ENGLEWOOD,RT-4,NOT IN TIF,"7340 S STEWART AVE
CHICAGO, IL
(41.760299890000454, -87.63457780099964)"
14-19-435-003-0000,1635,W,MELROSE,ST,3029,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940559675000486, -87.66984936099965)"
16-15-132-020-0000,4452,W,HARRISON,ST,3175,28,WEST GARFIELD PARK,M1-2,NOT IN TIF,"4452 W HARRISON ST
CHICAGO, IL
(41.8733179940005, -87.73730142099964)"
16-01-215-015-0000,1421,N,ARTESIAN,AVE,3177,1,WEST TOWN,RT-4,NOT IN TIF,"1421 N ARTESIAN AVE
CHICAGO, IL
(41.9073218310005, -87.68835364099965)"
16-09-310-022-0000,224,N,LOREL,ST,4781,28,AUSTIN,RS-3,NOT IN TIF,"224 N LOREL ST
CHICAGO, IL
(41.885089705000496, -87.75888711599964)"
20-16-412-011-0000,6031,S,LA SALLE,,5508,20,ENGLEWOOD,RS-3,NOT IN TIF,"6031 S LA
CHICAGO, IL
(41.88425074000048, -87.63244574499964)"
20-07-222-030-0000,4944,S,MARSHFIELD,AVE,2964,20,NEW CITY,RS-3,NOT IN TIF,"4944 S MARSHFIELD AVE
CHICAGO, IL
(41.80362914200049, -87.66607772899965)"
26-20-128-016-0000,11700,S,AVENUE H,,4927,10,HEGEWISCH,RS-2,NOT IN TIF,"11700 S AVENUE
CHICAGO, IL
(41.70370835500046, -87.53889609999965)"
20-08-310-023-0000,5201,S,LAFLIN,ST,3736,20,NEW CITY,RS-3,NOT IN TIF,"5201 S LAFLIN ST
CHICAGO, IL
(41.799371461000476, -87.66225330499964)"
17-21-320-022-0000,724,W,21ST,ST,2429,11,LOWER WEST SIDE,RT-4,NOT IN TIF,"724 W 21ST ST
CHICAGO, IL
(41.854207260000464, -87.64587147099968)"
20-07-303-033-0000,5116,S,DAMEN,AVE,2981,16,NEW CITY,B3-1,NOT IN TIF,"5116 S DAMEN AVE
CHICAGO, IL
(41.80063640500049, -87.67453438099966)"
16-10-316-016-0000,4501,W,FULTON,ST,2499,28,WEST GARFIELD PARK,M1-2,NOT IN TIF,"4501 W FULTON ST
CHICAGO, IL
(41.885323619000474, -87.73822094099967)"
16-09-222-011-0000,4929,W,RACE,AVE,3133,37,AUSTIN,RS-3,NOT IN TIF,"4929 W RACE AVE
CHICAGO, IL
(41.89588312900048, -87.74944070899966)"
20-27-212-047-0000,615,E,72,ST,1098,6,GREATER GRAND CROSSING,RS-3,NOT IN TIF,"615 E 72 ST
CHICAGO, IL
(41.7639330340005, -87.60971040799967)"
20-16-221-016-0000,5801,S,LAFAYETTE,AVE,5851,20,WASHINGTON PARK,RS-3,NOT IN TIF,"5801 S LAFAYETTE AVE
CHICAGO, IL
(41.78890042500046, -87.62660238399968)"
20-28-209-025-0000,7250,S,PRINCETON,AVE,12245,6,GREATER GRAND CROSSING,RT-4,NOT IN TIF,"7250 S PRINCETON AVE
CHICAGO, IL
(41.76197069800048, -87.63217759799966)"
20-15-312-034-0000,6156,S,WABASH,AVE,50903,20,WASHINGTON PARK,M1-2,NOT IN TIF,"6156 S WABASH AVE
CHICAGO, IL
(41.78146961100049, -87.62378783399964)"
25-03-223-028-0000,728,E,90TH,ST,2917,8,CHATHAM,RS-3,NOT IN TIF,"728 E 90TH ST
CHICAGO, IL
(41.73117827100049, -87.60596088199969)"
20-16-206-015-0000,5529,S,PERRY,AVE,2459,3,WASHINGTON PARK,RS-3,NOT IN TIF,"5529 S PERRY AVE
CHICAGO, IL
(41.79335194100048, -87.62775398799965)"
20-02-307-018-0000,4435,S,ELLIS,AVE,3026,4,KENWOOD,RT-4,NOT IN TIF,"4435 S ELLIS AVE
CHICAGO, IL
(41.81403194300049, -87.60170435299966)"
20-08-414-044-0000,5229,S,GREEN,ST,3697,20,NEW CITY,RS-3,NOT IN TIF,"5229 S GREEN ST
CHICAGO, IL
(41.798880589000476, -87.64645321699965)"
20-07-431-009-0000,5421,S,MARSHFIELD,AVE,3030,16,NEW CITY,RS-3,NOT IN TIF,"5421 S MARSHFIELD AVE
CHICAGO, IL
(41.795162175000485, -87.66578389699964)"
20-20-404-046-0000,6757,S,MORGAN,ST,3153,6,ENGLEWOOD,RS-3,NOT IN TIF,"6757 S MORGAN ST
CHICAGO, IL
(41.77079141600046, -87.64936388099966)"
19-12-220-031-0000,5059,S,TALMAN,AVE,4179,14,GAGE PARK,C1-1,NOT IN TIF,"5059 S TALMAN AVE
CHICAGO, IL
(41.80140980200048, -87.69030295999966)"
20-20-113-033-0000,6524,S,LAFLIN,ST,3097,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6524 S LAFLIN ST
CHICAGO, IL
(41.775049097000476, -87.66168753499966)"
20-15-306-013-0000,6039,S,STATE,ST,4440,20,WASHINGTON PARK,B1-2,NOT IN TIF,"6039 S STATE ST
CHICAGO, IL
(41.78440101600046, -87.62539411499966)"
20-02-300-025-0000,839,E,43RD,ST,17135,4,KENWOOD,B3-3,NOT IN TIF,"839 E 43RD ST
CHICAGO, IL
(41.8168227700005, -87.60513008699968)"
20-02-117-039-0000,4156,S,LAKE PARK,AVE,2620,4,OAKLAND,RM-5,NOT IN TIF,"4156 S LAKE PARK AVE
CHICAGO, IL
(41.81853390800046, -87.59997016899968)"
17-21-320-023-0000,722,W,21ST,ST,2749,11,LOWER WEST SIDE,RT-4,NOT IN TIF,"722 W 21ST ST
CHICAGO, IL
(41.854207260000464, -87.64585696699965)"
25-34-103-011-0000,13320,S,DR MARTIN LUTHER KING JR,,8518,9,RIVERDALE,RS-2,NOT IN TIF,"13320 S DR
CHICAGO, IL
(41.65324206700046, -87.53871521599967)"
20-02-106-040-0000,4047,S,DREXEL,AVE,15359,4,OAKLAND,B3-3,NOT IN TIF,"4047 S DREXEL AVE
CHICAGO, IL
(41.82034672700047, -87.60461435699966)"
16-09-412-012-0000,215,N,LA CROSSE,AVE,2514,28,AUSTIN,RT-4,NOT IN TIF,"215 N LA CROSSE AVE
CHICAGO, IL
(41.88498254300049, -87.74659342099966)"
20-17-312-032-0000,6034,S,ADA,ST,3126,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6034 S ADA ST
CHICAGO, IL
(41.784350464000454, -87.65830472799968)"
20-17-332-014-0000,6239,S,ELIZABETH,ST,3276,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6239 S ELIZABETH ST
CHICAGO, IL
(41.78034101600048, -87.65575629299968)"
21-31-200-016-0000,7945,S,BURNHAM,AVE,3111,7,SOUTH CHICAGO,RT-4,NOT IN TIF,"7945 S BURNHAM AVE
CHICAGO, IL
(41.75057117400047, -87.55645424599965)"
20-29-420-001-0000,7701,S,MORGAN,ST,8385,17,AUBURN GRESHAM,RS-3,NOT IN TIF,"7701 S MORGAN ST
CHICAGO, IL
(41.75411509200046, -87.64892963699964)"
20-08-309-038-0000,5244,S,LAFLIN,ST,3125,20,NEW CITY,RS-3,NOT IN TIF,"5244 S LAFLIN ST
CHICAGO, IL
(41.79823992100046, -87.66228787399967)"
20-08-405-012-0000,831,W,51,ST,3140,20,NEW CITY,RS-3,NOT IN TIF,"831 W 51 ST
CHICAGO, IL
(41.80154351300047, -87.64659955699966)"
20-08-404-019-0000,913,W,51ST,ST,3123,20,NEW CITY,RT-4,NOT IN TIF,"913 W 51ST ST
CHICAGO, IL
(41.80151355300046, -87.64837983299964)"
20-17-324-010-0000,6159,S,ELIZABETH,ST,2594,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6159 S ELIZABETH ST
CHICAGO, IL
(41.78154105300047, -87.65577402499969)"
26-06-312-029-0000,2638,E,93RD,ST,8276,7,CALUMET HEIGHTS,RS-3,NOT IN TIF,"2638 E 93RD ST
CHICAGO, IL
(41.726344096000446, -87.55929147999967)"
16-15-221-041-0000,4200,W,VAN BUREN,ST,6311,28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4200 W VAN BUREN ST
CHICAGO, IL
(41.875237696000454, -87.73057094199964)"
20-16-207-034-0000,5631,S,LAFAYETTE,AVE,2501,3,WASHINGTON PARK,RS-3,NOT IN TIF,"5631 S LAFAYETTE AVE
CHICAGO, IL
(41.79173183300048, -87.62668351799965)"
20-29-211-021-0000,7255,S,CARPENTER,ST,2992,6,ENGLEWOOD,RS-3,NOT IN TIF,"7255 S CARPENTER ST
CHICAGO, IL
(41.76166188700046, -87.65034332099964)"
20-16-219-053-0000,5812,S,PERRY,AVE,16874,20,WASHINGTON PARK,M1-1,NOT IN TIF,"5812 S PERRY AVE
CHICAGO, IL
(41.78840980500047, -87.62770789699965)"
13-33-106-005-0000,2249,N,LOREL,,3162,36,BELMONT CRAGIN,RS-3,NOT IN TIF,"2249 N LOREL
CHICAGO, IL
(41.92184173400045, -87.75970408299969)"
20-15-304-025-0000,5914,S,CALUMET,AVE,5092,20,WASHINGTON PARK,RM-5,NOT IN TIF,"5914 S CALUMET AVE
CHICAGO, IL
(41.7871743770005, -87.61744547799964)"
25-03-214-006-0000,617,E,88TH,PL,4708,6,CHATHAM,RS-2,NOT IN TIF,"617 E 88TH PL
CHICAGO, IL
(41.73381354000048, -87.60890957099969)"
20-04-319-001-0000,4501,S,EMERALD,AVE,3100,11,NEW CITY,RS-3,NOT IN TIF,"4501 S EMERALD AVE
CHICAGO, IL
(41.81238386300049, -87.64435211499966)"
20-20-303-021-0000,6743,S,BISHOP,,3110,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6743 S BISHOP
CHICAGO, IL
(41.771299645000454, -87.66032487499967)"
20-16-101-063-0000,5630,S,UNION,AVE,3146,20,ENGLEWOOD,RS-3,NOT IN TIF,"5630 S UNION AVE
CHICAGO, IL
(41.791578579000486, -87.64267718999969)"
20-17-115-015-0000,5635,S,ELIZABETH,ST,3112,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5635 S ELIZABETH ST
CHICAGO, IL
(41.79124096100048, -87.65598373999967)"
20-29-222-027-0000,7310,S,GREEN,ST,3117,17,ENGLEWOOD,RS-3,NOT IN TIF,"7310 S GREEN ST
CHICAGO, IL
(41.761277177000466, -87.64554649899969)"
14-18-124-016-0000,4517,N,LINCOLN,AVE,3109,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4517 N LINCOLN AVE
CHICAGO, IL
(41.96371911200049, -87.68530239899968)"
25-09-206-015-0000,9525,S,PERRY,AVE,3073,21,ROSELAND,RS-3,NOT IN TIF,"9525 S PERRY AVE
CHICAGO, IL
(41.720987798000465, -87.62617207199969)"
25-06-206-009-0000,8725,S,MARSHFIELD,,5618,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8725 S MARSHFIELD
CHICAGO, IL
(41.73499232400047, -87.66419374799966)"
20-19-417-019-0000,6951,S,WINCHESTER,AVE,2988,17,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6951 S WINCHESTER AVE
CHICAGO, IL
(41.76750676100045, -87.67233731899967)"
20-29-420-019-0000,7716,S,SANGAMON,ST,4993,17,AUBURN GRESHAM,RS-3,NOT IN TIF,"7716 S SANGAMON ST
CHICAGO, IL
(41.753872396000475, -87.64778213299968)"
20-16-219-038-0000,5744,S,PERRY,AVE,2470,20,WASHINGTON PARK,M1-1,NOT IN TIF,"5744 S PERRY AVE
CHICAGO, IL
(41.78971164800049, -87.62771843799965)"
25-04-412-024-0000,144,W,95TH,ST,2601,21,ROSELAND,B1-1,NOT IN TIF,"144 W 95TH ST
CHICAGO, IL
(41.72176554200047, -87.62774410399965)"
25-22-113-015-0000,11341,S,EDBROOKE,AVE,3410,9,ROSELAND,RS-3,NOT IN TIF,"11341 S EDBROOKE AVE
CHICAGO, IL
(41.68774185600046, -87.61943336099966)"
16-03-319-004-0000,4451,W,IOWA,ST,3717,37,HUMBOLDT PARK,RS-3,NOT IN TIF,"4451 W IOWA ST
CHICAGO, IL
(41.89698681600049, -87.73723592499965)"
17-17-328-003-0000,1443,W,FILLMORE,ST,3192,28,NEAR WEST SIDE,B3-2,NOT IN TIF,"1443 W FILLMORE ST
CHICAGO, IL
(41.8684830200005, -87.66333990799967)"
20-17-318-013-0000,6131,S,LAFLIN,ST,3150,16,WEST ENGLEWOOD,RS-3,NOT IN TIF,"6131 S LAFLIN ST
CHICAGO, IL
(41.78223126900048, -87.66180391599966)"
20-28-210-025-0000,7240,S,YALE,AVE,6211,6,GREATER GRAND CROSSING,RT-4,NOT IN TIF,"7240 S YALE AVE
CHICAGO, IL
(41.76231984000049, -87.63096770199968)"
20-16-212-003-0000,5713,S,WENTWORTH,AVE,3364,20,ENGLEWOOD,C1-1,NOT IN TIF,"5713 S WENTWORTH AVE
CHICAGO, IL
(41.79055155800046, -87.63033627899966)"
20-18-204-024-0000,5526,S,HERMITAGE,,3127,15,WEST ENGLEWOOD,RS-3,NOT IN TIF,"5526 S HERMITAGE
CHICAGO, IL
(41.79290751800045, -87.66824021999969)"
